trial1,trial2,trial3
43.3,53.3,51.6
32.2,44.8,35.4
43.7,37.9,41.3
45.1,44.8,48.3
60,40,48.3
56.6,50,54.8
48.2,67.7,46.6
45.1,40,51.7
50,33.3,26.6
54.8,37.9,41.9
36.6,58,35.4
70.9,73.3,30
53.3,66.6,66.6
70,82.7,48.2
55.1,56.6,51.6
43.3,58,33.3
55.1,60,41.3
66.6,70,19.3
41.3,86.6,27.5
41.3,51.7,65.5
31,70,56.6
43.7,51.7,44.8
51.6,51.7,40
38.7,60,67.7
43.3,60,38.7
65.5,76.6,62
55.1,58.6,73.3
30,51.7,61.2
41.3,41.3,87
48.3,34.4,50
37.9,56.6,79.3
45.1,22.5,48.3
51.6,43.3,53.3
75.8,35.4,58.6
53.3,40,34.4
31,43.3,40
31,62,65.5
63.3,50,55.1
60,37.9,53.3
46.6,32.2,51.6
33.3,32.2,60
70,46.6,36.6
46.6,32.2,23.3
51.7,33.3,27.5
29,43.3,38.7
41.3,40,46.6
48.2,55.1,51.7
51.6,72.4,68.9
36.6,55.1,40
56.6,53.3,64.5
43.3,30,50
43.3,35.4,34.4
51.7,58.6,67.7
35.4,40,50
63.3,53.3,73.3
79.3,76.6,58
43.3,50,32.2
48.2,40.6,34.4
45.1,36.6,33.3
43.3,33.3,60
48.3,53.3,60
55.1,45.1,86.2
46.6,58,34.3
48.2,60,26.6
48.3,56.6,44.8
63.3,70,44.8
27.5,55.1,58.6
30,48.2,
50,58.6,
36.6,24.1,
,31,
,23.3,
,50,
